passages,query,question,query_type,reasoning,answer_passage,answer,messages
"['Greg is a frog.', 'Greg is green.', 'Julius is a rhino.', 'Lily is a swan.', 'Bernhard is a rhino.', 'Lily is gray.', 'Bernhard is white.', 'Brian is a lion.', 'Brian is yellow.']","Answer the question based on the context:
Greg is a frog.
Greg is green.
Julius is a rhino.
Lily is a swan.
Bernhard is a rhino.
Lily is gray.
Bernhard is white.
Brian is a lion.
Brian is yellow.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Julius is a rhino.', 'Bernhard is a rhino.', 'Bernhard is white.']",white,"[{'content': 'Answer the question based on the context:\nGreg is a frog.\nGreg is green.\nJulius is a rhino.\nLily is a swan.\nBernhard is a rhino.\nLily is gray.\nBernhard is white.\nBrian is a lion.\nBrian is yellow.\nQuestion: What color is Julius? Only return the answer.\n', 'role': 'user'}, {'content': 'white', 'role': 'assistant'}]"
"['The kitchen is north of the office.', 'The office is north of the hallway.']","Answer the question based on the context:
The kitchen is north of the office.
The office is north of the hallway.
Question: What is north of the office? Only return the answer.
",What is north of the office?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is north of the office.'],kitchen,"[{'content': 'Answer the question based on the context:\nThe kitchen is north of the office.\nThe office is north of the hallway.\nQuestion: What is north of the office? Only return the answer.\n', 'role': 'user'}, {'content': 'kitchen', 'role': 'assistant'}]"
"['Wolves are afraid of mice.', 'Mice are afraid of wolves.', 'Cats are afraid of sheep.', 'Gertrude is a wolf.', 'Sheep are afraid of wolves.', 'Emily is a wolf.', 'Winona is a cat.', 'Jessica is a mouse.']","Answer the question based on the context:
Wolves are afraid of mice.
Mice are afraid of wolves.
Cats are afraid of sheep.
Gertrude is a wolf.
Sheep are afraid of wolves.
Emily is a wolf.
Winona is a cat.
Jessica is a mouse.
Question: What is winona afraid of? Only return the answer.
",What is winona afraid of?,basic-deduction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-deduction.
","['Cats are afraid of sheep.', 'Winona is a cat.']",sheep,"[{'content': 'Answer the question based on the context:\nWolves are afraid of mice.\nMice are afraid of wolves.\nCats are afraid of sheep.\nGertrude is a wolf.\nSheep are afraid of wolves.\nEmily is a wolf.\nWinona is a cat.\nJessica is a mouse.\nQuestion: What is winona afraid of? Only return the answer.\n', 'role': 'user'}, {'content': 'sheep', 'role': 'assistant'}]"
"['The garden is east of the bedroom.', 'The bathroom is west of the bedroom.']","Answer the question based on the context:
The garden is east of the bedroom.
The bathroom is west of the bedroom.
Question: What is east of the bedroom? Only return the answer.
",What is east of the bedroom?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The garden is east of the bedroom.'],garden,"[{'content': 'Answer the question based on the context:\nThe garden is east of the bedroom.\nThe bathroom is west of the bedroom.\nQuestion: What is east of the bedroom? Only return the answer.\n', 'role': 'user'}, {'content': 'garden', 'role': 'assistant'}]"
"['Bill moved to the bedroom yesterday.', 'Bill went back to the cinema this morning.', 'Yesterday Mary moved to the office.', 'Yesterday Fred went back to the park.']","Answer the question based on the context:
Bill moved to the bedroom yesterday.
Bill went back to the cinema this morning.
Yesterday Mary moved to the office.
Yesterday Fred went back to the park.
Question: Where was Bill before the cinema? Only return the answer.
",Where was Bill before the cinema?,time-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: time-reasoning.
","['Bill moved to the bedroom yesterday.', 'Bill went back to the cinema this morning.']",bedroom,"[{'content': 'Answer the question based on the context:\nBill moved to the bedroom yesterday.\nBill went back to the cinema this morning.\nYesterday Mary moved to the office.\nYesterday Fred went back to the park.\nQuestion: Where was Bill before the cinema? Only return the answer.\n', 'role': 'user'}, {'content': 'bedroom', 'role': 'assistant'}]"
"['Sandra travelled to the bathroom.', 'Mary travelled to the office.']","Answer the question based on the context:
Sandra travelled to the bathroom.
Mary travelled to the office.
Question: Where is Mary? Only return the answer.
",Where is Mary?,single-supporting-fact,"The category of the question represents what is being asked in that question. The category of the question asked is: single-supporting-fact.
",['Mary travelled to the office.'],office,"[{'content': 'Answer the question based on the context:\nSandra travelled to the bathroom.\nMary travelled to the office.\nQuestion: Where is Mary? Only return the answer.\n', 'role': 'user'}, {'content': 'office', 'role': 'assistant'}]"
"['Lily is a swan.', 'Lily is white.', 'Julius is a lion.', 'Julius is white.', 'Greg is a swan.', 'Greg is yellow.', 'Brian is a frog.', 'Brian is white.', 'Bernhard is a frog.']","Answer the question based on the context:
Lily is a swan.
Lily is white.
Julius is a lion.
Julius is white.
Greg is a swan.
Greg is yellow.
Brian is a frog.
Brian is white.
Bernhard is a frog.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a frog.', 'Brian is white.', 'Bernhard is a frog.']",white,"[{'content': 'Answer the question based on the context:\nLily is a swan.\nLily is white.\nJulius is a lion.\nJulius is white.\nGreg is a swan.\nGreg is yellow.\nBrian is a frog.\nBrian is white.\nBernhard is a frog.\nQuestion: What color is Bernhard? Only return the answer.\n', 'role': 'user'}, {'content': 'white', 'role': 'assistant'}]"
"['The hallway is west of the office.', 'The office is west of the garden.']","Answer the question based on the context:
The hallway is west of the office.
The office is west of the garden.
Question: What is west of the office? Only return the answer.
",What is west of the office?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The hallway is west of the office.'],hallway,"[{'content': 'Answer the question based on the context:\nThe hallway is west of the office.\nThe office is west of the garden.\nQuestion: What is west of the office? Only return the answer.\n', 'role': 'user'}, {'content': 'hallway', 'role': 'assistant'}]"
"['Brian is a lion.', 'Brian is gray.', 'Julius is a lion.', 'Greg is a frog.', 'Bernhard is a swan.', 'Bernhard is white.', 'Lily is a rhino.', 'Greg is white.', 'Lily is yellow.']","Answer the question based on the context:
Brian is a lion.
Brian is gray.
Julius is a lion.
Greg is a frog.
Bernhard is a swan.
Bernhard is white.
Lily is a rhino.
Greg is white.
Lily is yellow.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a lion.', 'Brian is gray.', 'Julius is a lion.']",gray,"[{'content': 'Answer the question based on the context:\nBrian is a lion.\nBrian is gray.\nJulius is a lion.\nGreg is a frog.\nBernhard is a swan.\nBernhard is white.\nLily is a rhino.\nGreg is white.\nLily is yellow.\nQuestion: What color is Julius? Only return the answer.\n', 'role': 'user'}, {'content': 'gray', 'role': 'assistant'}]"
"['Julius is a rhino.', 'Bernhard is a lion.', 'Greg is a lion.', 'Brian is a frog.', 'Brian is green.', 'Bernhard is white.', 'Greg is white.', 'Lily is a rhino.', 'Julius is yellow.']","Answer the question based on the context:
Julius is a rhino.
Bernhard is a lion.
Greg is a lion.
Brian is a frog.
Brian is green.
Bernhard is white.
Greg is white.
Lily is a rhino.
Julius is yellow.
Question: What color is Lily? Only return the answer.
",What color is Lily?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Julius is a rhino.', 'Lily is a rhino.', 'Julius is yellow.']",yellow,"[{'content': 'Answer the question based on the context:\nJulius is a rhino.\nBernhard is a lion.\nGreg is a lion.\nBrian is a frog.\nBrian is green.\nBernhard is white.\nGreg is white.\nLily is a rhino.\nJulius is yellow.\nQuestion: What color is Lily? Only return the answer.\n', 'role': 'user'}, {'content': 'yellow', 'role': 'assistant'}]"
"['Brian is a frog.', 'Bernhard is a rhino.', 'Brian is green.', 'Lily is a frog.', 'Lily is yellow.', 'Bernhard is yellow.', 'Greg is a frog.', 'Greg is gray.', 'Julius is a frog.']","Answer the question based on the context:
Brian is a frog.
Bernhard is a rhino.
Brian is green.
Lily is a frog.
Lily is yellow.
Bernhard is yellow.
Greg is a frog.
Greg is gray.
Julius is a frog.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a frog.', 'Greg is gray.', 'Julius is a frog.']",gray,"[{'content': 'Answer the question based on the context:\nBrian is a frog.\nBernhard is a rhino.\nBrian is green.\nLily is a frog.\nLily is yellow.\nBernhard is yellow.\nGreg is a frog.\nGreg is gray.\nJulius is a frog.\nQuestion: What color is Julius? Only return the answer.\n', 'role': 'user'}, {'content': 'gray', 'role': 'assistant'}]"
"['The garden is north of the bedroom.', 'The office is south of the bedroom.']","Answer the question based on the context:
The garden is north of the bedroom.
The office is south of the bedroom.
Question: What is the bedroom north of? Only return the answer.
",What is the bedroom north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The office is south of the bedroom.'],office,"[{'content': 'Answer the question based on the context:\nThe garden is north of the bedroom.\nThe office is south of the bedroom.\nQuestion: What is the bedroom north of? Only return the answer.\n', 'role': 'user'}, {'content': 'office', 'role': 'assistant'}]"
"['The garden is north of the office.', 'The garden is south of the bathroom.']","Answer the question based on the context:
The garden is north of the office.
The garden is south of the bathroom.
Question: What is south of the bathroom? Only return the answer.
",What is south of the bathroom?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The garden is south of the bathroom.'],garden,"[{'content': 'Answer the question based on the context:\nThe garden is north of the office.\nThe garden is south of the bathroom.\nQuestion: What is south of the bathroom? Only return the answer.\n', 'role': 'user'}, {'content': 'garden', 'role': 'assistant'}]"
"['Sandra and Mary moved to the office.', 'John and Daniel moved to the kitchen.']","Answer the question based on the context:
Sandra and Mary moved to the office.
John and Daniel moved to the kitchen.
Question: Where is John? Only return the answer.
",Where is John?,conjunction,"The category of the question represents what is being asked in that question. The category of the question asked is: conjunction.
",['John and Daniel moved to the kitchen.'],kitchen,"[{'content': 'Answer the question based on the context:\nSandra and Mary moved to the office.\nJohn and Daniel moved to the kitchen.\nQuestion: Where is John? Only return the answer.\n', 'role': 'user'}, {'content': 'kitchen', 'role': 'assistant'}]"
"['Brian is a frog.', 'Bernhard is a frog.', 'Brian is yellow.', 'Greg is a rhino.', 'Greg is gray.', 'Lily is a swan.', 'Bernhard is yellow.', 'Lily is white.', 'Julius is a rhino.']","Answer the question based on the context:
Brian is a frog.
Bernhard is a frog.
Brian is yellow.
Greg is a rhino.
Greg is gray.
Lily is a swan.
Bernhard is yellow.
Lily is white.
Julius is a rhino.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a rhino.', 'Greg is gray.', 'Julius is a rhino.']",gray,"[{'content': 'Answer the question based on the context:\nBrian is a frog.\nBernhard is a frog.\nBrian is yellow.\nGreg is a rhino.\nGreg is gray.\nLily is a swan.\nBernhard is yellow.\nLily is white.\nJulius is a rhino.\nQuestion: What color is Julius? Only return the answer.\n', 'role': 'user'}, {'content': 'gray', 'role': 'assistant'}]"
"['The chest is bigger than the chocolate.', 'The chocolate fits inside the box of chocolates.', 'The chocolate fits inside the container.', 'The box is bigger than the suitcase.', 'The suitcase is bigger than the box of chocolates.']","Answer the question based on the context:
The chest is bigger than the chocolate.
The chocolate fits inside the box of chocolates.
The chocolate fits inside the container.
The box is bigger than the suitcase.
The suitcase is bigger than the box of chocolates.
Question: Is the box bigger than the box of chocolates? Only return the answer.
",Is the box bigger than the box of chocolates?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The box is bigger than the suitcase.', 'The suitcase is bigger than the box of chocolates.']",yes,"[{'content': 'Answer the question based on the context:\nThe chest is bigger than the chocolate.\nThe chocolate fits inside the box of chocolates.\nThe chocolate fits inside the container.\nThe box is bigger than the suitcase.\nThe suitcase is bigger than the box of chocolates.\nQuestion: Is the box bigger than the box of chocolates? Only return the answer.\n', 'role': 'user'}, {'content': 'yes', 'role': 'assistant'}]"
"['The hallway is north of the bedroom.', 'The bathroom is south of the bedroom.']","Answer the question based on the context:
The hallway is north of the bedroom.
The bathroom is south of the bedroom.
Question: What is the bedroom north of? Only return the answer.
",What is the bedroom north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bathroom is south of the bedroom.'],bathroom,"[{'content': 'Answer the question based on the context:\nThe hallway is north of the bedroom.\nThe bathroom is south of the bedroom.\nQuestion: What is the bedroom north of? Only return the answer.\n', 'role': 'user'}, {'content': 'bathroom', 'role': 'assistant'}]"
"['John picked up the apple there.', 'Sandra travelled to the hallway.']","Answer the question based on the context:
John picked up the apple there.
Sandra travelled to the hallway.
Question: What is John carrying? Only return the answer.
",What is John carrying?,lists-sets,"The category of the question represents what is being asked in that question. The category of the question asked is: lists-sets.
",['John picked up the apple there.'],apple,"[{'content': 'Answer the question based on the context:\nJohn picked up the apple there.\nSandra travelled to the hallway.\nQuestion: What is John carrying? Only return the answer.\n', 'role': 'user'}, {'content': 'apple', 'role': 'assistant'}]"
"['Greg is a lion.', 'Julius is a lion.', 'Lily is a rhino.', 'Lily is yellow.', 'Julius is gray.', 'Bernhard is a swan.', 'Brian is a swan.', 'Brian is white.', 'Bernhard is white.']","Answer the question based on the context:
Greg is a lion.
Julius is a lion.
Lily is a rhino.
Lily is yellow.
Julius is gray.
Bernhard is a swan.
Brian is a swan.
Brian is white.
Bernhard is white.
Question: What color is Greg? Only return the answer.
",What color is Greg?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a lion.', 'Julius is a lion.', 'Julius is gray.']",gray,"[{'content': 'Answer the question based on the context:\nGreg is a lion.\nJulius is a lion.\nLily is a rhino.\nLily is yellow.\nJulius is gray.\nBernhard is a swan.\nBrian is a swan.\nBrian is white.\nBernhard is white.\nQuestion: What color is Greg? Only return the answer.\n', 'role': 'user'}, {'content': 'gray', 'role': 'assistant'}]"
"['Mice are afraid of wolves.', 'Wolves are afraid of sheep.', 'Sheep are afraid of mice.', 'Cats are afraid of mice.', 'Emily is a cat.', 'Jessica is a sheep.', 'Winona is a sheep.', 'Gertrude is a wolf.']","Answer the question based on the context:
Mice are afraid of wolves.
Wolves are afraid of sheep.
Sheep are afraid of mice.
Cats are afraid of mice.
Emily is a cat.
Jessica is a sheep.
Winona is a sheep.
Gertrude is a wolf.
Question: What is emily afraid of? Only return the answer.
",What is emily afraid of?,basic-deduction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-deduction.
","['Cats are afraid of mice.', 'Emily is a cat.']",mouse,"[{'content': 'Answer the question based on the context:\nMice are afraid of wolves.\nWolves are afraid of sheep.\nSheep are afraid of mice.\nCats are afraid of mice.\nEmily is a cat.\nJessica is a sheep.\nWinona is a sheep.\nGertrude is a wolf.\nQuestion: What is emily afraid of? Only return the answer.\n', 'role': 'user'}, {'content': 'mouse', 'role': 'assistant'}]"
"['Bernhard is a frog.', 'Julius is a swan.', 'Julius is gray.', 'Greg is a frog.', 'Lily is a rhino.', 'Brian is a rhino.', 'Bernhard is gray.', 'Brian is white.', 'Greg is gray.']","Answer the question based on the context:
Bernhard is a frog.
Julius is a swan.
Julius is gray.
Greg is a frog.
Lily is a rhino.
Brian is a rhino.
Bernhard is gray.
Brian is white.
Greg is gray.
Question: What color is Lily? Only return the answer.
",What color is Lily?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a rhino.', 'Brian is a rhino.', 'Brian is white.']",white,"[{'content': 'Answer the question based on the context:\nBernhard is a frog.\nJulius is a swan.\nJulius is gray.\nGreg is a frog.\nLily is a rhino.\nBrian is a rhino.\nBernhard is gray.\nBrian is white.\nGreg is gray.\nQuestion: What color is Lily? Only return the answer.\n', 'role': 'user'}, {'content': 'white', 'role': 'assistant'}]"
"['The bathroom is south of the garden.', 'The bedroom is north of the garden.']","Answer the question based on the context:
The bathroom is south of the garden.
The bedroom is north of the garden.
Question: What is the garden north of? Only return the answer.
",What is the garden north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bathroom is south of the garden.'],bathroom,"[{'content': 'Answer the question based on the context:\nThe bathroom is south of the garden.\nThe bedroom is north of the garden.\nQuestion: What is the garden north of? Only return the answer.\n', 'role': 'user'}, {'content': 'bathroom', 'role': 'assistant'}]"
"['Brian is a rhino.', 'Brian is yellow.', 'Greg is a frog.', 'Greg is gray.', 'Bernhard is a frog.', 'Julius is a rhino.', 'Bernhard is gray.', 'Lily is a frog.', 'Lily is gray.']","Answer the question based on the context:
Brian is a rhino.
Brian is yellow.
Greg is a frog.
Greg is gray.
Bernhard is a frog.
Julius is a rhino.
Bernhard is gray.
Lily is a frog.
Lily is gray.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a rhino.', 'Brian is yellow.', 'Julius is a rhino.']",yellow,"[{'content': 'Answer the question based on the context:\nBrian is a rhino.\nBrian is yellow.\nGreg is a frog.\nGreg is gray.\nBernhard is a frog.\nJulius is a rhino.\nBernhard is gray.\nLily is a frog.\nLily is gray.\nQuestion: What color is Julius? Only return the answer.\n', 'role': 'user'}, {'content': 'yellow', 'role': 'assistant'}]"
"['Lily is a rhino.', 'Julius is a rhino.', 'Greg is a swan.', 'Greg is gray.', 'Lily is white.', 'Brian is a rhino.', 'Julius is yellow.', 'Bernhard is a rhino.', 'Bernhard is gray.']","Answer the question based on the context:
Lily is a rhino.
Julius is a rhino.
Greg is a swan.
Greg is gray.
Lily is white.
Brian is a rhino.
Julius is yellow.
Bernhard is a rhino.
Bernhard is gray.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a rhino.', 'Bernhard is a rhino.', 'Bernhard is gray.']",gray,"[{'content': 'Answer the question based on the context:\nLily is a rhino.\nJulius is a rhino.\nGreg is a swan.\nGreg is gray.\nLily is white.\nBrian is a rhino.\nJulius is yellow.\nBernhard is a rhino.\nBernhard is gray.\nQuestion: What color is Brian? Only return the answer.\n', 'role': 'user'}, {'content': 'gray', 'role': 'assistant'}]"
"['Wolves are afraid of sheep.', 'Sheep are afraid of wolves.', 'Mice are afraid of sheep.', 'Emily is a mouse.', 'Cats are afraid of mice.', 'Gertrude is a cat.', 'Jessica is a cat.', 'Winona is a mouse.']","Answer the question based on the context:
Wolves are afraid of sheep.
Sheep are afraid of wolves.
Mice are afraid of sheep.
Emily is a mouse.
Cats are afraid of mice.
Gertrude is a cat.
Jessica is a cat.
Winona is a mouse.
Question: What is winona afraid of? Only return the answer.
",What is winona afraid of?,basic-deduction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-deduction.
","['Mice are afraid of sheep.', 'Winona is a mouse.']",sheep,"[{'content': 'Answer the question based on the context:\nWolves are afraid of sheep.\nSheep are afraid of wolves.\nMice are afraid of sheep.\nEmily is a mouse.\nCats are afraid of mice.\nGertrude is a cat.\nJessica is a cat.\nWinona is a mouse.\nQuestion: What is winona afraid of? Only return the answer.\n', 'role': 'user'}, {'content': 'sheep', 'role': 'assistant'}]"
"['Bill travelled to the office this morning.', 'Bill travelled to the cinema yesterday.']","Answer the question based on the context:
Bill travelled to the office this morning.
Bill travelled to the cinema yesterday.
Question: Where was Bill before the office? Only return the answer.
",Where was Bill before the office?,time-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: time-reasoning.
","['Bill travelled to the office this morning.', 'Bill travelled to the cinema yesterday.']",cinema,"[{'content': 'Answer the question based on the context:\nBill travelled to the office this morning.\nBill travelled to the cinema yesterday.\nQuestion: Where was Bill before the office? Only return the answer.\n', 'role': 'user'}, {'content': 'cinema', 'role': 'assistant'}]"
"['The bedroom is north of the kitchen.', 'The kitchen is north of the bathroom.']","Answer the question based on the context:
The bedroom is north of the kitchen.
The kitchen is north of the bathroom.
Question: What is the bathroom south of? Only return the answer.
",What is the bathroom south of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is north of the bathroom.'],kitchen,"[{'content': 'Answer the question based on the context:\nThe bedroom is north of the kitchen.\nThe kitchen is north of the bathroom.\nQuestion: What is the bathroom south of? Only return the answer.\n', 'role': 'user'}, {'content': 'kitchen', 'role': 'assistant'}]"
"['Sandra picked up the apple there.', 'John went to the office.']","Answer the question based on the context:
Sandra picked up the apple there.
John went to the office.
Question: What is Sandra carrying? Only return the answer.
",What is Sandra carrying?,lists-sets,"The category of the question represents what is being asked in that question. The category of the question asked is: lists-sets.
",['Sandra picked up the apple there.'],apple,"[{'content': 'Answer the question based on the context:\nSandra picked up the apple there.\nJohn went to the office.\nQuestion: What is Sandra carrying? Only return the answer.\n', 'role': 'user'}, {'content': 'apple', 'role': 'assistant'}]"
"['The office is east of the kitchen.', 'The bathroom is east of the office.']","Answer the question based on the context:
The office is east of the kitchen.
The bathroom is east of the office.
Question: What is the kitchen west of? Only return the answer.
",What is the kitchen west of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The office is east of the kitchen.'],office,"[{'content': 'Answer the question based on the context:\nThe office is east of the kitchen.\nThe bathroom is east of the office.\nQuestion: What is the kitchen west of? Only return the answer.\n', 'role': 'user'}, {'content': 'office', 'role': 'assistant'}]"
"['Mice are afraid of cats.', 'Cats are afraid of sheep.', 'Sheep are afraid of wolves.', 'Winona is a sheep.', 'Emily is a cat.', 'Jessica is a mouse.', 'Wolves are afraid of sheep.', 'Gertrude is a wolf.']","Answer the question based on the context:
Mice are afraid of cats.
Cats are afraid of sheep.
Sheep are afraid of wolves.
Winona is a sheep.
Emily is a cat.
Jessica is a mouse.
Wolves are afraid of sheep.
Gertrude is a wolf.
Question: What is gertrude afraid of? Only return the answer.
",What is gertrude afraid of?,basic-deduction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-deduction.
","['Wolves are afraid of sheep.', 'Gertrude is a wolf.']",sheep,"[{'content': 'Answer the question based on the context:\nMice are afraid of cats.\nCats are afraid of sheep.\nSheep are afraid of wolves.\nWinona is a sheep.\nEmily is a cat.\nJessica is a mouse.\nWolves are afraid of sheep.\nGertrude is a wolf.\nQuestion: What is gertrude afraid of? Only return the answer.\n', 'role': 'user'}, {'content': 'sheep', 'role': 'assistant'}]"
"['John moved to the bedroom.', 'Mary went back to the garden.', 'Daniel went to the garden.', 'John travelled to the garden.', 'John got the football there.', 'John handed the football to Mary.']","Answer the question based on the context:
John moved to the bedroom.
Mary went back to the garden.
Daniel went to the garden.
John travelled to the garden.
John got the football there.
John handed the football to Mary.
Question: How many objects is John carrying? Only return the answer.
",How many objects is John carrying?,counting,"The category of the question represents what is being asked in that question. The category of the question asked is: counting.
","['John got the football there.', 'John handed the football to Mary.']",none,"[{'content': 'Answer the question based on the context:\nJohn moved to the bedroom.\nMary went back to the garden.\nDaniel went to the garden.\nJohn travelled to the garden.\nJohn got the football there.\nJohn handed the football to Mary.\nQuestion: How many objects is John carrying? Only return the answer.\n', 'role': 'user'}, {'content': 'none', 'role': 'assistant'}]"
"['Sandra journeyed to the hallway.', 'Daniel travelled to the hallway.']","Answer the question based on the context:
Sandra journeyed to the hallway.
Daniel travelled to the hallway.
Question: Where is Sandra? Only return the answer.
",Where is Sandra?,single-supporting-fact,"The category of the question represents what is being asked in that question. The category of the question asked is: single-supporting-fact.
",['Sandra journeyed to the hallway.'],hallway,"[{'content': 'Answer the question based on the context:\nSandra journeyed to the hallway.\nDaniel travelled to the hallway.\nQuestion: Where is Sandra? Only return the answer.\n', 'role': 'user'}, {'content': 'hallway', 'role': 'assistant'}]"
"['The kitchen is west of the bathroom.', 'The garden is west of the kitchen.']","Answer the question based on the context:
The kitchen is west of the bathroom.
The garden is west of the kitchen.
Question: What is west of the kitchen? Only return the answer.
",What is west of the kitchen?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The garden is west of the kitchen.'],garden,"[{'content': 'Answer the question based on the context:\nThe kitchen is west of the bathroom.\nThe garden is west of the kitchen.\nQuestion: What is west of the kitchen? Only return the answer.\n', 'role': 'user'}, {'content': 'garden', 'role': 'assistant'}]"
"['The hallway is east of the office.', 'The kitchen is east of the hallway.']","Answer the question based on the context:
The hallway is east of the office.
The kitchen is east of the hallway.
Question: What is the hallway west of? Only return the answer.
",What is the hallway west of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is east of the hallway.'],kitchen,"[{'content': 'Answer the question based on the context:\nThe hallway is east of the office.\nThe kitchen is east of the hallway.\nQuestion: What is the hallway west of? Only return the answer.\n', 'role': 'user'}, {'content': 'kitchen', 'role': 'assistant'}]"
"['Daniel travelled to the bedroom.', 'John journeyed to the office.', 'John went back to the kitchen.', 'Mary journeyed to the hallway.', 'Mary moved to the bedroom.', 'Mary went to the office.', 'Mary went back to the hallway.', 'Sandra moved to the office.', 'John went back to the office.', 'Mary moved to the office.', 'Mary went to the hallway.', 'Mary travelled to the garden.', 'Daniel went back to the office.', 'John went to the garden.', 'Sandra went to the garden.', 'Sandra went back to the kitchen.', 'Daniel travelled to the kitchen.', 'John moved to the bathroom.', 'Daniel went to the bathroom.', 'John grabbed the apple there.']","Answer the question based on the context:
Daniel travelled to the bedroom.
John journeyed to the office.
John went back to the kitchen.
Mary journeyed to the hallway.
Mary moved to the bedroom.
Mary went to the office.
Mary went back to the hallway.
Sandra moved to the office.
John went back to the office.
Mary moved to the office.
Mary went to the hallway.
Mary travelled to the garden.
Daniel went back to the office.
John went to the garden.
Sandra went to the garden.
Sandra went back to the kitchen.
Daniel travelled to the kitchen.
John moved to the bathroom.
Daniel went to the bathroom.
John grabbed the apple there.
Question: What is John carrying? Only return the answer.
",What is John carrying?,lists-sets,"The category of the question represents what is being asked in that question. The category of the question asked is: lists-sets.
",['John grabbed the apple there.'],apple,"[{'content': 'Answer the question based on the context:\nDaniel travelled to the bedroom.\nJohn journeyed to the office.\nJohn went back to the kitchen.\nMary journeyed to the hallway.\nMary moved to the bedroom.\nMary went to the office.\nMary went back to the hallway.\nSandra moved to the office.\nJohn went back to the office.\nMary moved to the office.\nMary went to the hallway.\nMary travelled to the garden.\nDaniel went back to the office.\nJohn went to the garden.\nSandra went to the garden.\nSandra went back to the kitchen.\nDaniel travelled to the kitchen.\nJohn moved to the bathroom.\nDaniel went to the bathroom.\nJohn grabbed the apple there.\nQuestion: What is John carrying? Only return the answer.\n', 'role': 'user'}, {'content': 'apple', 'role': 'assistant'}]"
"['The chest is bigger than the box of chocolates.', 'The container is bigger than the box.', 'The box fits inside the container.', 'The box fits inside the container.', 'The chocolate fits inside the box of chocolates.']","Answer the question based on the context:
The chest is bigger than the box of chocolates.
The container is bigger than the box.
The box fits inside the container.
The box fits inside the container.
The chocolate fits inside the box of chocolates.
Question: Does the chocolate fit in the chest? Only return the answer.
",Does the chocolate fit in the chest?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The chest is bigger than the box of chocolates.', 'The chocolate fits inside the box of chocolates.']",yes,"[{'content': 'Answer the question based on the context:\nThe chest is bigger than the box of chocolates.\nThe container is bigger than the box.\nThe box fits inside the container.\nThe box fits inside the container.\nThe chocolate fits inside the box of chocolates.\nQuestion: Does the chocolate fit in the chest? Only return the answer.\n', 'role': 'user'}, {'content': 'yes', 'role': 'assistant'}]"
