passages,query,question,query_type,reasoning,answer_passage,answer
"['The chest is bigger than the chocolate.', 'The box of chocolates is bigger than the chocolate.', 'The suitcase is bigger than the chocolate.', 'The chocolate fits inside the suitcase.', 'The box of chocolates fits inside the suitcase.']","Answer the question based on the context:
The chest is bigger than the chocolate.
The box of chocolates is bigger than the chocolate.
The suitcase is bigger than the chocolate.
The chocolate fits inside the suitcase.
The box of chocolates fits inside the suitcase.
Question: Is the suitcase bigger than the chocolate? Only return the answer.
",Is the suitcase bigger than the chocolate?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The box of chocolates is bigger than the chocolate.', 'The box of chocolates fits inside the suitcase.']",yes
"['Mary went back to the bathroom.', 'John went to the hallway.', 'Mary went back to the office.', 'Mary went to the hallway.', 'Daniel went back to the hallway.', 'Sandra took the football there.']","Answer the question based on the context:
Mary went back to the bathroom.
John went to the hallway.
Mary went back to the office.
Mary went to the hallway.
Daniel went back to the hallway.
Sandra took the football there.
Question: How many objects is Sandra carrying? Only return the answer.
",How many objects is Sandra carrying?,counting,"The category of the question represents what is being asked in that question. The category of the question asked is: counting.
",['Sandra took the football there.'],one
"['Greg is a swan.', 'Lily is a rhino.', 'Bernhard is a frog.', 'Lily is yellow.', 'Julius is a rhino.', 'Julius is white.', 'Greg is yellow.', 'Brian is a swan.', 'Bernhard is yellow.']","Answer the question based on the context:
Greg is a swan.
Lily is a rhino.
Bernhard is a frog.
Lily is yellow.
Julius is a rhino.
Julius is white.
Greg is yellow.
Brian is a swan.
Bernhard is yellow.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a swan.', 'Greg is yellow.', 'Brian is a swan.']",yellow
"['Mary journeyed to the cinema this morning.', 'Julie went to the park this morning.', 'Yesterday Bill travelled to the bedroom.', 'Julie moved to the bedroom yesterday.', 'Fred journeyed to the park yesterday.', 'Mary travelled to the bedroom yesterday.']","Answer the question based on the context:
Mary journeyed to the cinema this morning.
Julie went to the park this morning.
Yesterday Bill travelled to the bedroom.
Julie moved to the bedroom yesterday.
Fred journeyed to the park yesterday.
Mary travelled to the bedroom yesterday.
Question: Where was Mary before the cinema? Only return the answer.
",Where was Mary before the cinema?,time-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: time-reasoning.
","['Mary journeyed to the cinema this morning.', 'Mary travelled to the bedroom yesterday.']",bedroom
"['The bedroom is south of the bathroom.', 'The bathroom is south of the garden.']","Answer the question based on the context:
The bedroom is south of the bathroom.
The bathroom is south of the garden.
Question: What is the bathroom north of? Only return the answer.
",What is the bathroom north of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bedroom is south of the bathroom.'],bedroom
"['Lily is a swan.', 'Bernhard is a lion.', 'Brian is a rhino.', 'Lily is white.', 'Brian is green.', 'Bernhard is yellow.', 'Greg is a rhino.', 'Greg is yellow.', 'Julius is a swan.']","Answer the question based on the context:
Lily is a swan.
Bernhard is a lion.
Brian is a rhino.
Lily is white.
Brian is green.
Bernhard is yellow.
Greg is a rhino.
Greg is yellow.
Julius is a swan.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a swan.', 'Lily is white.', 'Julius is a swan.']",white
"['The red square is to the right of the triangle.', 'The yellow square is below the red square.']","Answer the question based on the context:
The red square is to the right of the triangle.
The yellow square is below the red square.
Question: Is the yellow square to the left of the triangle? Only return the answer.
",Is the yellow square to the left of the triangle?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The red square is to the right of the triangle.', 'The yellow square is below the red square.']",no
"['The bedroom is south of the bathroom.', 'The bathroom is south of the garden.']","Answer the question based on the context:
The bedroom is south of the bathroom.
The bathroom is south of the garden.
Question: What is south of the bathroom? Only return the answer.
",What is south of the bathroom?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bedroom is south of the bathroom.'],bedroom
"['Mary went back to the kitchen.', 'Sandra travelled to the bathroom.']","Answer the question based on the context:
Mary went back to the kitchen.
Sandra travelled to the bathroom.
Question: Where is Mary? Only return the answer.
",Where is Mary?,single-supporting-fact,"The category of the question represents what is being asked in that question. The category of the question asked is: single-supporting-fact.
",['Mary went back to the kitchen.'],kitchen
"['The office is east of the garden.', 'The kitchen is west of the garden.']","Answer the question based on the context:
The office is east of the garden.
The kitchen is west of the garden.
Question: What is the garden east of? Only return the answer.
",What is the garden east of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is west of the garden.'],kitchen
"['The box of chocolates fits inside the suitcase.', 'The box of chocolates fits inside the suitcase.', 'The suitcase is bigger than the box.', 'The suitcase is bigger than the chocolate.', 'The container is bigger than the box.', 'The box is bigger than the chocolate.', 'The box is bigger than the box of chocolates.', 'The box of chocolates is bigger than the chocolate.', 'The suitcase is bigger than the box.', 'The chocolate fits inside the container.']","Answer the question based on the context:
The box of chocolates fits inside the suitcase.
The box of chocolates fits inside the suitcase.
The suitcase is bigger than the box.
The suitcase is bigger than the chocolate.
The container is bigger than the box.
The box is bigger than the chocolate.
The box is bigger than the box of chocolates.
The box of chocolates is bigger than the chocolate.
The suitcase is bigger than the box.
The chocolate fits inside the container.
Question: Does the suitcase fit in the chocolate? Only return the answer.
",Does the suitcase fit in the chocolate?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The suitcase is bigger than the box.', 'The box is bigger than the chocolate.']",no
"['The kitchen is north of the hallway.', 'The bedroom is south of the hallway.']","Answer the question based on the context:
The kitchen is north of the hallway.
The bedroom is south of the hallway.
Question: What is north of the hallway? Only return the answer.
",What is north of the hallway?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is north of the hallway.'],kitchen
"['John moved to the bathroom.', 'Daniel journeyed to the bathroom.', 'Daniel went back to the bedroom.', 'John travelled to the bedroom.', 'Daniel moved to the bathroom.', 'Daniel travelled to the office.', 'Daniel got the milk there.', 'Mary went back to the bedroom.', 'John went back to the hallway.', 'Daniel dropped the milk there.']","Answer the question based on the context:
John moved to the bathroom.
Daniel journeyed to the bathroom.
Daniel went back to the bedroom.
John travelled to the bedroom.
Daniel moved to the bathroom.
Daniel travelled to the office.
Daniel got the milk there.
Mary went back to the bedroom.
John went back to the hallway.
Daniel dropped the milk there.
Question: Where is the milk? Only return the answer.
",Where is the milk?,two-supporting-facts,"The category of the question represents what is being asked in that question. The category of the question asked is: two-supporting-facts.
","['Daniel travelled to the office.', 'Daniel dropped the milk there.']",office
"['Daniel picked up the apple there.', 'John moved to the bathroom.']","Answer the question based on the context:
Daniel picked up the apple there.
John moved to the bathroom.
Question: What is Daniel carrying? Only return the answer.
",What is Daniel carrying?,lists-sets,"The category of the question represents what is being asked in that question. The category of the question asked is: lists-sets.
",['Daniel picked up the apple there.'],apple
"['The red sphere is to the right of the blue square.', 'The blue square is below the yellow square.']","Answer the question based on the context:
The red sphere is to the right of the blue square.
The blue square is below the yellow square.
Question: Is the red sphere above the yellow square? Only return the answer.
",Is the red sphere above the yellow square?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The red sphere is to the right of the blue square.', 'The blue square is below the yellow square.']",no
"['Bernhard is a frog.', 'Lily is a lion.', 'Greg is a frog.', 'Bernhard is gray.', 'Lily is yellow.', 'Brian is a frog.', 'Greg is yellow.', 'Julius is a frog.', 'Brian is yellow.']","Answer the question based on the context:
Bernhard is a frog.
Lily is a lion.
Greg is a frog.
Bernhard is gray.
Lily is yellow.
Brian is a frog.
Greg is yellow.
Julius is a frog.
Brian is yellow.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a frog.', 'Julius is a frog.', 'Brian is yellow.']",yellow
"['Sandra got the milk there.', 'Sandra left the milk.']","Answer the question based on the context:
Sandra got the milk there.
Sandra left the milk.
Question: What is Sandra carrying? Only return the answer.
",What is Sandra carrying?,lists-sets,"The category of the question represents what is being asked in that question. The category of the question asked is: lists-sets.
","['Sandra got the milk there.', 'Sandra left the milk.']",nothing
"['Lily is a swan.', 'Lily is green.', 'Greg is a rhino.', 'Brian is a rhino.', 'Julius is a rhino.', 'Julius is gray.', 'Brian is gray.', 'Bernhard is a rhino.', 'Bernhard is green.']","Answer the question based on the context:
Lily is a swan.
Lily is green.
Greg is a rhino.
Brian is a rhino.
Julius is a rhino.
Julius is gray.
Brian is gray.
Bernhard is a rhino.
Bernhard is green.
Question: What color is Greg? Only return the answer.
",What color is Greg?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a rhino.', 'Bernhard is a rhino.', 'Bernhard is green.']",green
"['Bernhard is a lion.', 'Julius is a swan.', 'Lily is a lion.', 'Greg is a rhino.', 'Greg is white.', 'Bernhard is white.', 'Brian is a rhino.', 'Julius is yellow.', 'Lily is white.']","Answer the question based on the context:
Bernhard is a lion.
Julius is a swan.
Lily is a lion.
Greg is a rhino.
Greg is white.
Bernhard is white.
Brian is a rhino.
Julius is yellow.
Lily is white.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Greg is a rhino.', 'Greg is white.', 'Brian is a rhino.']",white
"['Daniel moved to the garden.', 'Sandra picked up the apple there.', 'Daniel journeyed to the office.', 'Daniel travelled to the garden.', 'Mary went to the garden.', 'Sandra dropped the apple.', 'Sandra got the apple there.', 'Sandra discarded the apple.', 'John journeyed to the hallway.', 'Mary went to the kitchen.', 'Sandra went back to the hallway.', 'Sandra journeyed to the garden.', 'Sandra moved to the bathroom.', 'Mary went back to the office.', 'Mary got the football there.', 'Daniel moved to the office.', 'Mary travelled to the bedroom.', 'Daniel went back to the kitchen.']","Answer the question based on the context:
Daniel moved to the garden.
Sandra picked up the apple there.
Daniel journeyed to the office.
Daniel travelled to the garden.
Mary went to the garden.
Sandra dropped the apple.
Sandra got the apple there.
Sandra discarded the apple.
John journeyed to the hallway.
Mary went to the kitchen.
Sandra went back to the hallway.
Sandra journeyed to the garden.
Sandra moved to the bathroom.
Mary went back to the office.
Mary got the football there.
Daniel moved to the office.
Mary travelled to the bedroom.
Daniel went back to the kitchen.
Question: Where is the football? Only return the answer.
",Where is the football?,two-supporting-facts,"The category of the question represents what is being asked in that question. The category of the question asked is: two-supporting-facts.
","['Mary got the football there.', 'Mary travelled to the bedroom.']",bedroom
"['Fred went to the office yesterday.', 'Fred journeyed to the cinema this morning.', 'This afternoon Fred travelled to the park.', 'Yesterday Mary travelled to the office.']","Answer the question based on the context:
Fred went to the office yesterday.
Fred journeyed to the cinema this morning.
This afternoon Fred travelled to the park.
Yesterday Mary travelled to the office.
Question: Where was Fred before the park? Only return the answer.
",Where was Fred before the park?,time-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: time-reasoning.
","['Fred journeyed to the cinema this morning.', 'This afternoon Fred travelled to the park.']",cinema
"['The bathroom is north of the bedroom.', 'The bedroom is north of the hallway.']","Answer the question based on the context:
The bathroom is north of the bedroom.
The bedroom is north of the hallway.
Question: What is the hallway south of? Only return the answer.
",What is the hallway south of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bedroom is north of the hallway.'],bedroom
"['The office is north of the bedroom.', 'The garden is north of the office.']","Answer the question based on the context:
The office is north of the bedroom.
The garden is north of the office.
Question: What is north of the bedroom? Only return the answer.
",What is north of the bedroom?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The office is north of the bedroom.'],office
"['Lily is a rhino.', 'Lily is white.', 'Bernhard is a swan.', 'Brian is a lion.', 'Bernhard is white.', 'Julius is a rhino.', 'Julius is white.', 'Brian is yellow.', 'Greg is a lion.']","Answer the question based on the context:
Lily is a rhino.
Lily is white.
Bernhard is a swan.
Brian is a lion.
Bernhard is white.
Julius is a rhino.
Julius is white.
Brian is yellow.
Greg is a lion.
Question: What color is Greg? Only return the answer.
",What color is Greg?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a lion.', 'Brian is yellow.', 'Greg is a lion.']",yellow
"['The blue square is above the red square.', 'The pink rectangle is to the left of the red square.']","Answer the question based on the context:
The blue square is above the red square.
The pink rectangle is to the left of the red square.
Question: Is the pink rectangle to the right of the blue square? Only return the answer.
",Is the pink rectangle to the right of the blue square?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The blue square is above the red square.', 'The pink rectangle is to the left of the red square.']",no
"['John moved to the hallway.', 'Sandra grabbed the football there.']","Answer the question based on the context:
John moved to the hallway.
Sandra grabbed the football there.
Question: What is Sandra carrying? Only return the answer.
",What is Sandra carrying?,lists-sets,"The category of the question represents what is being asked in that question. The category of the question asked is: lists-sets.
",['Sandra grabbed the football there.'],football
"['The hallway is east of the bathroom.', 'The bedroom is east of the hallway.']","Answer the question based on the context:
The hallway is east of the bathroom.
The bedroom is east of the hallway.
Question: What is east of the hallway? Only return the answer.
",What is east of the hallway?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bedroom is east of the hallway.'],bedroom
"['The yellow square is to the left of the blue square.', 'The yellow square is below the red sphere.']","Answer the question based on the context:
The yellow square is to the left of the blue square.
The yellow square is below the red sphere.
Question: Is the red sphere to the left of the blue square? Only return the answer.
",Is the red sphere to the left of the blue square?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The yellow square is to the left of the blue square.', 'The yellow square is below the red sphere.']",yes
"['Greg is a frog.', 'Greg is gray.', 'Lily is a frog.', 'Brian is a lion.', 'Bernhard is a swan.', 'Brian is green.', 'Bernhard is green.', 'Julius is a lion.', 'Lily is gray.']","Answer the question based on the context:
Greg is a frog.
Greg is gray.
Lily is a frog.
Brian is a lion.
Bernhard is a swan.
Brian is green.
Bernhard is green.
Julius is a lion.
Lily is gray.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Brian is a lion.', 'Brian is green.', 'Julius is a lion.']",green
"['The pink rectangle is below the yellow square.', 'The pink rectangle is to the left of the red sphere.']","Answer the question based on the context:
The pink rectangle is below the yellow square.
The pink rectangle is to the left of the red sphere.
Question: Is the red sphere to the right of the yellow square? Only return the answer.
",Is the red sphere to the right of the yellow square?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The pink rectangle is below the yellow square.', 'The pink rectangle is to the left of the red sphere.']",yes
"['The red sphere is to the left of the yellow square.', 'The red sphere is below the pink rectangle.']","Answer the question based on the context:
The red sphere is to the left of the yellow square.
The red sphere is below the pink rectangle.
Question: Is the pink rectangle to the right of the yellow square? Only return the answer.
",Is the pink rectangle to the right of the yellow square?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The red sphere is to the left of the yellow square.', 'The red sphere is below the pink rectangle.']",no
"['The box fits inside the chest.', 'The box is bigger than the container.', 'The box is bigger than the chocolate.', 'The container fits inside the suitcase.', 'The chest is bigger than the box of chocolates.']","Answer the question based on the context:
The box fits inside the chest.
The box is bigger than the container.
The box is bigger than the chocolate.
The container fits inside the suitcase.
The chest is bigger than the box of chocolates.
Question: Is the chest bigger than the container? Only return the answer.
",Is the chest bigger than the container?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The box fits inside the chest.', 'The box is bigger than the container.']",yes
"['The office is west of the hallway.', 'The hallway is west of the garden.']","Answer the question based on the context:
The office is west of the hallway.
The hallway is west of the garden.
Question: What is the garden east of? Only return the answer.
",What is the garden east of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The hallway is west of the garden.'],hallway
"['Mary moved to the garden.', 'John went to the bedroom.']","Answer the question based on the context:
Mary moved to the garden.
John went to the bedroom.
Question: Where is John? Only return the answer.
",Where is John?,single-supporting-fact,"The category of the question represents what is being asked in that question. The category of the question asked is: single-supporting-fact.
",['John went to the bedroom.'],bedroom
"['Daniel and Mary went back to the bedroom.', 'John and Daniel journeyed to the bathroom.']","Answer the question based on the context:
Daniel and Mary went back to the bedroom.
John and Daniel journeyed to the bathroom.
Question: Where is Daniel? Only return the answer.
",Where is Daniel?,conjunction,"The category of the question represents what is being asked in that question. The category of the question asked is: conjunction.
",['John and Daniel journeyed to the bathroom.'],bathroom
"['The red sphere is below the red square.', 'The pink rectangle is to the right of the red sphere.']","Answer the question based on the context:
The red sphere is below the red square.
The pink rectangle is to the right of the red sphere.
Question: Is the red square above the pink rectangle? Only return the answer.
",Is the red square above the pink rectangle?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The red sphere is below the red square.', 'The pink rectangle is to the right of the red sphere.']",yes
"['The kitchen is west of the garden.', 'The bathroom is west of the kitchen.']","Answer the question based on the context:
The kitchen is west of the garden.
The bathroom is west of the kitchen.
Question: What is the garden east of? Only return the answer.
",What is the garden east of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is west of the garden.'],kitchen
"['Daniel went to the bathroom.', 'Mary picked up the football there.', 'Mary travelled to the hallway.', 'Sandra moved to the garden.']","Answer the question based on the context:
Daniel went to the bathroom.
Mary picked up the football there.
Mary travelled to the hallway.
Sandra moved to the garden.
Question: Where is the football? Only return the answer.
",Where is the football?,two-supporting-facts,"The category of the question represents what is being asked in that question. The category of the question asked is: two-supporting-facts.
","['Mary picked up the football there.', 'Mary travelled to the hallway.']",hallway
"['The triangle is to the left of the red square.', 'The red sphere is below the triangle.']","Answer the question based on the context:
The triangle is to the left of the red square.
The red sphere is below the triangle.
Question: Is the red sphere below the red square? Only return the answer.
",Is the red sphere below the red square?,positional-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: positional-reasoning.
","['The triangle is to the left of the red square.', 'The red sphere is below the triangle.']",yes
"['Lily is a frog.', 'Bernhard is a lion.', 'Brian is a frog.', 'Julius is a frog.', 'Greg is a frog.', 'Brian is white.', 'Greg is white.', 'Bernhard is gray.', 'Lily is white.']","Answer the question based on the context:
Lily is a frog.
Bernhard is a lion.
Brian is a frog.
Julius is a frog.
Greg is a frog.
Brian is white.
Greg is white.
Bernhard is gray.
Lily is white.
Question: What color is Julius? Only return the answer.
",What color is Julius?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Julius is a frog.', 'Greg is a frog.', 'Greg is white.']",white
"['The bedroom is north of the hallway.', 'The hallway is north of the garden.']","Answer the question based on the context:
The bedroom is north of the hallway.
The hallway is north of the garden.
Question: What is north of the garden? Only return the answer.
",What is north of the garden?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The hallway is north of the garden.'],hallway
"['The hallway is north of the bathroom.', 'The kitchen is south of the bathroom.']","Answer the question based on the context:
The hallway is north of the bathroom.
The kitchen is south of the bathroom.
Question: What is the bathroom south of? Only return the answer.
",What is the bathroom south of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The hallway is north of the bathroom.'],hallway
"['Julius is a swan.', 'Lily is a lion.', 'Brian is a lion.', 'Bernhard is a swan.', 'Greg is a frog.', 'Lily is yellow.', 'Greg is green.', 'Bernhard is yellow.', 'Julius is yellow.']","Answer the question based on the context:
Julius is a swan.
Lily is a lion.
Brian is a lion.
Bernhard is a swan.
Greg is a frog.
Lily is yellow.
Greg is green.
Bernhard is yellow.
Julius is yellow.
Question: What color is Brian? Only return the answer.
",What color is Brian?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a lion.', 'Brian is a lion.', 'Lily is yellow.']",yellow
"['The container fits inside the suitcase.', 'The container is bigger than the box of chocolates.', 'The chest is bigger than the box.', 'The suitcase is bigger than the container.', 'The container is bigger than the chocolate.']","Answer the question based on the context:
The container fits inside the suitcase.
The container is bigger than the box of chocolates.
The chest is bigger than the box.
The suitcase is bigger than the container.
The container is bigger than the chocolate.
Question: Does the box of chocolates fit in the suitcase? Only return the answer.
",Does the box of chocolates fit in the suitcase?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The container fits inside the suitcase.', 'The container is bigger than the box of chocolates.']",yes
"['The office is west of the hallway.', 'The hallway is west of the bedroom.']","Answer the question based on the context:
The office is west of the hallway.
The hallway is west of the bedroom.
Question: What is the hallway east of? Only return the answer.
",What is the hallway east of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The office is west of the hallway.'],office
"['The bedroom is west of the hallway.', 'The bathroom is east of the hallway.']","Answer the question based on the context:
The bedroom is west of the hallway.
The bathroom is east of the hallway.
Question: What is east of the hallway? Only return the answer.
",What is east of the hallway?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bathroom is east of the hallway.'],bathroom
"['Daniel moved to the bedroom.', 'Sandra went back to the bedroom.', 'Sandra travelled to the hallway.', 'John journeyed to the kitchen.', 'Mary went back to the bedroom.', 'Sandra travelled to the office.', 'Daniel moved to the hallway.', 'Mary went to the garden.', 'Mary went to the bedroom.', 'Mary travelled to the office.', 'Mary grabbed the football there.', 'John moved to the bathroom.', 'John moved to the hallway.', 'Sandra took the apple there.', 'Daniel travelled to the bathroom.', 'Daniel went back to the hallway.', 'Mary journeyed to the bedroom.', 'Mary journeyed to the hallway.', 'Sandra went back to the bathroom.', 'Daniel moved to the bedroom.', 'Daniel travelled to the garden.', 'Sandra put down the apple.']","Answer the question based on the context:
Daniel moved to the bedroom.
Sandra went back to the bedroom.
Sandra travelled to the hallway.
John journeyed to the kitchen.
Mary went back to the bedroom.
Sandra travelled to the office.
Daniel moved to the hallway.
Mary went to the garden.
Mary went to the bedroom.
Mary travelled to the office.
Mary grabbed the football there.
John moved to the bathroom.
John moved to the hallway.
Sandra took the apple there.
Daniel travelled to the bathroom.
Daniel went back to the hallway.
Mary journeyed to the bedroom.
Mary journeyed to the hallway.
Sandra went back to the bathroom.
Daniel moved to the bedroom.
Daniel travelled to the garden.
Sandra put down the apple.
Question: Where is the apple? Only return the answer.
",Where is the apple?,two-supporting-facts,"The category of the question represents what is being asked in that question. The category of the question asked is: two-supporting-facts.
","['Sandra went back to the bathroom.', 'Sandra put down the apple.']",bathroom
"['Julius is a swan.', 'Brian is a frog.', 'Julius is white.', 'Brian is gray.', 'Bernhard is a lion.', 'Lily is a lion.', 'Greg is a swan.', 'Greg is white.', 'Bernhard is white.']","Answer the question based on the context:
Julius is a swan.
Brian is a frog.
Julius is white.
Brian is gray.
Bernhard is a lion.
Lily is a lion.
Greg is a swan.
Greg is white.
Bernhard is white.
Question: What color is Lily? Only return the answer.
",What color is Lily?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Bernhard is a lion.', 'Lily is a lion.', 'Bernhard is white.']",white
"['Brian is a swan.', 'Lily is a frog.', 'Julius is a lion.', 'Greg is a frog.', 'Greg is green.', 'Brian is gray.', 'Lily is green.', 'Julius is gray.', 'Bernhard is a lion.']","Answer the question based on the context:
Brian is a swan.
Lily is a frog.
Julius is a lion.
Greg is a frog.
Greg is green.
Brian is gray.
Lily is green.
Julius is gray.
Bernhard is a lion.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Julius is a lion.', 'Julius is gray.', 'Bernhard is a lion.']",gray
"['Greg is a rhino.', 'Brian is a lion.', 'Julius is a swan.', 'Greg is yellow.', 'Julius is white.', 'Lily is a frog.', 'Brian is green.', 'Bernhard is a frog.', 'Lily is green.']","Answer the question based on the context:
Greg is a rhino.
Brian is a lion.
Julius is a swan.
Greg is yellow.
Julius is white.
Lily is a frog.
Brian is green.
Bernhard is a frog.
Lily is green.
Question: What color is Bernhard? Only return the answer.
",What color is Bernhard?,basic-induction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-induction.
","['Lily is a frog.', 'Bernhard is a frog.', 'Lily is green.']",green
"['Mary journeyed to the bedroom yesterday.', 'Julie journeyed to the park yesterday.', 'Fred travelled to the park yesterday.', 'This morning Fred journeyed to the cinema.']","Answer the question based on the context:
Mary journeyed to the bedroom yesterday.
Julie journeyed to the park yesterday.
Fred travelled to the park yesterday.
This morning Fred journeyed to the cinema.
Question: Where was Fred before the cinema? Only return the answer.
",Where was Fred before the cinema?,time-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: time-reasoning.
","['Fred travelled to the park yesterday.', 'This morning Fred journeyed to the cinema.']",park
"['Sheep are afraid of wolves.', 'Cats are afraid of mice.', 'Jessica is a cat.', 'Gertrude is a cat.', 'Wolves are afraid of cats.', 'Emily is a sheep.', 'Mice are afraid of cats.', 'Winona is a mouse.']","Answer the question based on the context:
Sheep are afraid of wolves.
Cats are afraid of mice.
Jessica is a cat.
Gertrude is a cat.
Wolves are afraid of cats.
Emily is a sheep.
Mice are afraid of cats.
Winona is a mouse.
Question: What is jessica afraid of? Only return the answer.
",What is jessica afraid of?,basic-deduction,"The category of the question represents what is being asked in that question. The category of the question asked is: basic-deduction.
","['Cats are afraid of mice.', 'Jessica is a cat.']",mouse
"['The office is west of the bathroom.', 'The bathroom is west of the kitchen.']","Answer the question based on the context:
The office is west of the bathroom.
The bathroom is west of the kitchen.
Question: What is the kitchen east of? Only return the answer.
",What is the kitchen east of?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The bathroom is west of the kitchen.'],bathroom
"['The hallway is east of the kitchen.', 'The office is west of the kitchen.']","Answer the question based on the context:
The hallway is east of the kitchen.
The office is west of the kitchen.
Question: What is west of the kitchen? Only return the answer.
",What is west of the kitchen?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The office is west of the kitchen.'],office
"['The bathroom is south of the hallway.', 'The kitchen is north of the hallway.']","Answer the question based on the context:
The bathroom is south of the hallway.
The kitchen is north of the hallway.
Question: What is north of the hallway? Only return the answer.
",What is north of the hallway?,two-arg-relations,"The category of the question represents what is being asked in that question. The category of the question asked is: two-arg-relations.
",['The kitchen is north of the hallway.'],kitchen
"['Julie went back to the cinema yesterday.', 'This morning Mary went to the office.', 'Mary went to the school yesterday.', 'Bill travelled to the park yesterday.']","Answer the question based on the context:
Julie went back to the cinema yesterday.
This morning Mary went to the office.
Mary went to the school yesterday.
Bill travelled to the park yesterday.
Question: Where was Mary before the office? Only return the answer.
",Where was Mary before the office?,time-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: time-reasoning.
","['This morning Mary went to the office.', 'Mary went to the school yesterday.']",school
"['The box is bigger than the container.', 'The chocolate fits inside the box of chocolates.', 'The chest is bigger than the box.', 'The container fits inside the box.', 'The container fits inside the chest.']","Answer the question based on the context:
The box is bigger than the container.
The chocolate fits inside the box of chocolates.
The chest is bigger than the box.
The container fits inside the box.
The container fits inside the chest.
Question: Does the container fit in the chest? Only return the answer.
",Does the container fit in the chest?,size-reasoning,"The category of the question represents what is being asked in that question. The category of the question asked is: size-reasoning.
","['The box is bigger than the container.', 'The chest is bigger than the box.']",yes
